id,game,start_date,end_date,game title,start of free,end of free
219.0,Train Sim World 2,29/07/2021,05/08/2021,,,
220.0,A Plague Tale: Innocence,05/08/2021,12/08/2021,,,
221.0,Minit,05/08/2021,12/08/2021,,,
222.0,Rebel Galaxy,12/08/2021,19/08/2021,,,
223.0,Void Bastards,19/08/2021,26/08/2021,,,
224.0,Yooka-Laylee,19/08/2021,26/08/2021,,,
225.0,Automachef,26/08/2021,02/09/2021,,,
226.0,Saints Row: The Third Remastered,26/08/2021,02/09/2021,,,
227.0,Yoku's Island Express,02/09/2021,09/09/2021,,,
228.0,Nioh: The Complete Edition,09/09/2021,16/09/2021,,,
229.0,Sheltered,09/09/2021,16/09/2021,,,
230.0,Speed Brawl,16/09/2021,23/09/2021,,,
231.0,Tharsis,16/09/2021,23/09/2021,,,
232.0,The Escapists,23/09/2021,30/09/2021,,,
233.0,Europa Universalis IV,30/09/2021,07/10/2021,,,
234.0,PC Building Simulator,07/10/2021,14/10/2021,,,
235.0,Stubbs the Zombie in Rebel Without a Pulse,14/10/2021,21/10/2021,,,
236.0,Among the Sleep: Enhanced Edition,21/10/2021,28/10/2021,,,
237.0,DARQ,28/10/2021,04/11/2021,,,
238.0,Aven Colony,04/11/2021,11/11/2021,,,
239.0,Rogue Company Season 4 Epic Pack (DLC),11/11/2021,18/11/2021,,,
240.0,Tiny Tinas Assault on Dragon Keep: A Wonderlands One-Shot Adventure,11/11/2021,18/11/2021,,,
241.0,Guild of Dungeoneering,18/11/2021,25/11/2021,,,
242.0,KID A MNESIA EXHIBITION,18/11/2021,25/11/2021,,,
243.0,Never Alone (Kisima Ingitchuna),18/11/2021,25/11/2021,,,
244.0,Antstream,25/11/2021,02/12/2021,,,
245.0,theHunter: Call of the Wild,25/11/2021,02/12/2021,,,
246.0,Dead by Daylight,02/12/2021,09/12/2021,,,
247.0,while True: learn(),02/12/2021,09/12/2021,,,
248.0,Godfall: Challenger Edition,09/12/2021,16/12/2021,,,
249.0,Prison Architect,09/12/2021,16/12/2021,,,
250.0,Shenmue III,16/12/2021,17/12/2021,,,
251.0,Neon Abyss,17/12/2021,18/12/2021,,,
252.0,Remnant: From the Ashes,18/12/2021,19/12/2021,,,
253.0,The Vanishing of Ethan Carter,19/12/2021,20/12/2021,,,
254.0,Loop Hero,20/12/2021,21/12/2021,,,
255.0,Second Extinction,21/12/2021,22/12/2021,,,
256.0,Mutant Year Zero: Road to Eden,22/12/2021,23/12/2021,,,
257.0,Vampyr,23/12/2021,24/12/2021,,,
258.0,Pathfinder: Kingmaker - Enhanced Plus Edition,24/12/2021,25/12/2021,,,
259.0,Prey,25/12/2021,26/12/2021,,,
260.0,Control,26/12/2021,27/12/2021,,,
261.0,Mages of Mystralia,27/12/2021,28/12/2021,,,
262.0,Moving Out,28/12/2021,29/12/2021,,,
263.0,Salt and Sanctuary,29/12/2021,30/12/2021,,,
264.0,"Tomb Raider Trilogy (Tomb Raider GOTY, Rise of the Tomb Raider, Shadow of the Tomb Raider)",30/12/2021,06/01/2022,,,
265.0,Tomb Raider GOTY,30/12/2021,06/01/2022,,,
266.0,Rise of the Tomb Raider,30/12/2021,06/01/2022,,,
267.0,Shadow of the Tomb Raider,30/12/2021,06/01/2022,,,
268.0,Gods Will Fall,06/01/2022,13/01/2022,,,
269.0,Galactic Civilizations III,13/01/2022,20/01/2022,,,
270.0,Relicta,20/01/2022,27/01/2022,,,
271.0,Daemon X Machina,27/01/2022,03/02/2022,,,
272.0,Yooka-Laylee and the Impossible Lair,03/02/2022,10/02/2022,,,
273.0,Windbound,10/02/2022,17/02/2022,,,
274.0,Brothers: A Tale of Two Sons,17/02/2022,24/02/2022,,,
275.0,Cris Tales,24/02/2022,03/03/2022,,,
276.0,Black Widow: Recharged,03/03/2022,10/03/2022,,,
277.0,Centipede: Recharged,03/03/2022,10/03/2022,,,
278.0,Cities: Skylines,10/03/2022,17/03/2022,,,
279.0,In Sound Mind,17/03/2022,24/03/2022,,,
280.0,Demon's Tilt,24/03/2022,31/03/2022,,,
281.0,City of Brass (repeat),31/03/2022,07/04/2022,,,
282.0,Total War: Warhammer,31/03/2022,07/04/2022,,,
283.0,Rogue Legacy,07/04/2022,14/04/2022,,,
284.0,The Vanishing of Ethan Carter,07/04/2022,14/04/2022,,,
285.0,Insurmountable,14/04/2022,21/04/2022,,,
286.0,XCOM 2,14/04/2022,21/04/2022,,,
287.0,Amnesia: Rebirth,21/04/2022,28/04/2022,,,
288.0,Riverbond,21/04/2022,28/04/2022,,,
289.0,Just Die Already,28/04/2022,05/05/2022,,,
290.0,Paradigm,28/04/2022,05/05/2022,,,
291.0,Terraforming Mars,05/05/2022,12/05/2022,,,
292.0,Jotun: Valhalla Edition,12/05/2022,19/05/2022,,,
293.0,Prey,12/05/2022,19/05/2022,,,
294.0,Redout: Enhanced Edition,12/05/2022,19/05/2022,,,
295.0,Borderlands 3,19/05/2022,26/05/2022,,,
296.0,Bioshock: The Collection,26/05/2022,02/06/2022,,,
297.0,BioShock,26/05/2022,02/06/2022,,,
298.0,BioShock 2,26/05/2022,02/06/2022,,,
299.0,BioShock Infinite,26/05/2022,02/06/2022,,,
300.0,Wolfenstein: The New Order,02/06/2022,09/06/2022,,,
301.0,Maneater,09/06/2022,16/06/2022,,,
302.0,Supraland,16/06/2022,23/06/2022,,,
303.0,A Game of Thrones: The Board Game Digital Edition,23/06/2022,30/06/2022,,,
304.0,Car Mechanic Simulator 2018,23/06/2022,30/06/2022,,,
305.0,Geneforge 1: Mutagen,30/06/2022,07/07/2022,,,
306.0,Hood: Outlaws & Legends,30/06/2022,07/07/2022,,,
307.0,Iratus: Lord of the Dead,30/06/2022,07/07/2022,,,
308.0,Ancient Enemy,07/07/2022,14/07/2022,,,
309.0,Killing Floor 2,07/07/2022,14/07/2022,,,
310.0,Shop Titans,14/07/2022,21/07/2022,,,
311.0,Wonder Boy: The Dragon's Trap,14/07/2022,21/07/2022,,,
312.0,Tannenberg,21/07/2022,28/07/2022,,,
313.0,Lawn Mowing Simulator,28/07/2022,04/08/2022,,,
314.0,Unrailed!,04/08/2022,11/08/2022,,,
315.0,"Cook, Serve, Delicious! 3?!",11/08/2022,18/08/2022,,,
316.0,Doom 64,18/08/2022,25/08/2022,,,
317.0,Rumbleverse Boom Boxer Pack (DLC),18/08/2022,25/08/2022,,,
318.0,Destiny 2,25/08/2022,01/09/2022,,,
319.0,Ring of Pain,25/08/2022,01/09/2022,,,
320.0,Shadow of the Tomb Raider,01/09/2022,08/09/2022,,,
321.0,Submerged: Hidden Depths,01/09/2022,08/09/2022,,,
322.0,Hundred Days - Winemaking Simulator,08/09/2022,15/09/2022,,,
323.0,Realm Royale Reforged Epic Launch Bundle (DLC),08/09/2022,15/09/2022,,,
324.0,Spirit of the North,15/09/2022,22/09/2022,,,
325.0,The Captain,15/09/2022,22/09/2022,,,
326.0,ARK: Survival Evolved (repeat),22/09/2022,29/09/2022,,,
327.0,Gloomhaven,22/09/2022,29/09/2022,,,
328.0,Runbow,29/09/2022,06/10/2022,,,
329.0,The Drone Racing League Simulator,29/09/2022,06/10/2022,,,
330.0,Rising Hell,06/10/2022,13/10/2022,,,
331.0,Slain: Back from Hell,06/10/2022,13/10/2022,,,
332.0,Darkwood,13/10/2022,20/10/2022,,,
333.0,ToeJam & Earl: Back in the Groove!,13/10/2022,20/10/2022,,,
334.0,Evoland,20/10/2022,27/10/2022,,,
335.0,Fallout 3,20/10/2022,27/10/2022,,,
336.0,Saturnalia,27/10/2022,03/11/2022,,,
337.0,"Warhammer 40,000: Mechanicus",27/10/2022,03/11/2022,,,
338.0,Filament,03/11/2022,10/11/2022,,,
339.0,Rising Storm 2: Vietnam,03/11/2022,10/11/2022,,,
340.0,Alba: A Wildlife Adventure,10/11/2022,17/11/2022,,,
341.0,Shadow Tactics: Blades of the Shogun (repeat),10/11/2022,17/11/2022,,,
342.0,Dark Deity,17/11/2022,24/11/2022,,,
343.0,Evil Dead: The Game,17/11/2022,24/11/2022,,,
344.0,Star Wars: Squadrons,24/11/2022,01/12/2022,,,
345.0,Fort Triumph,01/12/2022,08/12/2022,,,
346.0,RPG in a Box,01/12/2022,08/12/2022,,,
347.0,Saints Row 4 Re-Elected,08/12/2022,15/12/2022,,,
348.0,Wildcat Gun Machine,08/12/2022,15/12/2022,,,
349.0,Bloons TD 6,15/12/2022,15/12/2022,,,
350.0,Horizon Chase Turbo,16/12/2022,16/12/2022,,,
351.0,Costume Quest 2,17/12/2022,17/12/2022,,,
352.0,Sable,19/12/2022,20/12/2022,,,
353.0,Them's Fightin' Herds,20/12/2022,21/12/2022,,,
354.0,Wolfenstein: The New Order,21/12/2022,22/12/2022,,,
355.0,LEGO Builder's Journey,22/12/2022,23/12/2022,,,
356.0,Fallout Classic Collection,23/12/2022,24/12/2022,,,
357.0,Encased,24/12/2022,25/12/2022,,,
358.0,Metro: Last Light Redux,25/12/2022,26/12/2022,,,
359.0,Death Stranding,26/12/2022,27/12/2022,,,
360.0,F.I.S.T.: Forged In Shadow Torch,27/12/2022,28/12/2022,,,
361.0,Severed Steel,28/12/2022,29/12/2022,,,
362.0,Dishonored,29/12/2022,05/01/2023,,,
363.0,Eximius: Seize the Frontline,29/12/2022,05/01/2023,,,
364.0,Mortal Shell,29/12/2022,05/01/2023,,,
365.0,Kerbal Space Program,05/01/2023,12/01/2023,,,
366.0,Shadow Tactics: Blades Of The Shogun - Aiko's Choice,05/01/2023,12/01/2023,,,
367.0,Divine Knockout,12/01/2023,19/01/2023,,,
368.0,First Class Trouble,12/01/2023,19/01/2023,,,
369.0,Epistory's Typing Chronicles,19/01/2023,26/01/2023,,,
370.0,Gamedec,19/01/2023,26/01/2023,,,
371.0,Adios,26/01/2023,02/02/2023,,,
372.0,Hell is Others,26/01/2023,02/02/2023,,,
373.0,City of Gangsters,02/02/2023,09/02/2023,,,
374.0,Dishonored: Death of the Outsider,02/02/2023,09/02/2023,,,
375.0,Recipe for Disaster,09/02/2023,16/02/2023,,,
376.0,Warpips,16/02/2023,23/02/2023,,,
377.0,Duskers,23/02/2023,02/03/2023,,,
378.0,Rise of Industry,02/03/2023,09/03/2023,,,
379.0,Call of the Sea,09/03/2023,16/03/2023,,,
380.0,"Warhammer 40,000: Gladius - Relics Of War",16/03/2023,23/03/2023,,,
381.0,Chess Ultra,23/03/2023,30/03/2023,,,
382.0,World of Warships  Starter Pack: Ishizuchi,23/03/2023,30/03/2023,,,
383.0,The Silent Age,30/03/2023,06/04/2023,,,
384.0,Tunche,30/03/2023,06/04/2023,,,
385.0,Dying Light,06/04/2023,13/04/2023,,,
386.0,shapez,06/04/2023,13/04/2023,,,
387.0,Mordhau,13/04/2023,20/04/2023,,,
388.0,Second Extinction,13/04/2023,20/04/2023,,,
389.0,Beyond Blue,20/04/2023,27/04/2023,,,
390.0,Never Alone (Kisima Ingitchuna),20/04/2023,27/04/2023,,,
391.0,Breathedge,27/04/2023,04/05/2023,,,
392.0,Poker Club,27/04/2023,04/05/2023,,,
393.0,Against All Odds,04/05/2023,11/05/2023,,,
394.0,Horizon Chase Turbo,04/05/2023,11/05/2023,,,
395.0,Kao the Kangaroo,04/05/2023,11/05/2023,,,
396.0,The Sims 4 The Daring Lifestyle Bundle,11/05/2023,18/05/2023,,,
397.0,Death Stranding,18/05/2023,25/05/2023,,,
398.0,Fallout: New Vegas,25/05/2023,01/06/2023,,,
399.0,Midnight Ghost Hunt,01/06/2023,08/06/2023,,,
400.0,PAYDAY 2,08/06/2023,15/06/2023,,,
401.0,Guacamelee! 2,15/06/2023,22/06/2023,,,
402.0,Guacamelee!,15/06/2023,22/06/2023,,,
403.0,TheHunter: Call of the Wild,22/06/2023,29/06/2023,,,
404.0,Idle Champions Of The Forgotten Realms Pack,22/06/2023,29/06/2023,,,
405.0,The Dungeon of Naheulbeuk: The Amulet of Chaos,29/06/2023,06/07/2023,,,
406.0,Grime,06/07/2023,13/07/2023,,,
407.0,Train Valley 2,13/07/2023,20/07/2023,,,
408.0,Murder by Numbers,20/07/2023,27/07/2023,,,
409.0,The Elder Scrolls Online,20/07/2023,27/07/2023,,,
410.0,Homeworld Remastered Collection,27/07/2023,03/08/2023,,,
411.0,Severed Steel,27/07/2023,03/08/2023,,,
412.0,Bloons TD 6,03/08/2023,10/08/2023,,,
413.0,Loop Hero,03/08/2023,10/08/2023,,,
414.0,Europa Universalis IV (repeat),10/08/2023,17/08/2023,,,
415.0,Orwell: Keeping an Eye on You,10/08/2023,17/08/2023,,,
416.0,Black Book,17/08/2023,24/08/2023,,,
417.0,Dodo Peak,17/08/2023,24/08/2023,,,
418.0,Homeworld: Deserts of Kharak,24/08/2023,31/08/2023,,,
419.0,Cave Story+,31/08/2023,07/09/2023,,,
420.0,Spelldrifter,31/08/2023,07/09/2023,,,
421.0,911 Operator,14/09/2023,21/09/2023,,,
422.0,Out of Line,14/09/2023,21/09/2023,,,
423.0,The Forest Quartet,21/09/2023,28/09/2023,,,
424.0,Model Builder,28/09/2023,05/10/2023,,,
425.0,Soulstice,28/09/2023,05/10/2023,,,
426.0,Godlike Burger,05/10/2023,12/10/2023,,,
427.0,Blazing Sails,12/10/2023,19/10/2023,,,
428.0,Q.U.B.E. Ultimate Bundle,12/10/2023,19/10/2023,,,
429.0,Eternal Threads,19/10/2023,26/10/2023,,,
430.0,The Evil Within,19/10/2023,26/10/2023,,,
