id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
60,The Wolf Among Us,12/12/2019,19/12/2019,14.99,Telltale,2019,19.3371,2013-10-11,79.52272727272727,N/A,No Future Sequel Found,,False
61,Into the Breach,19/12/2019,20/12/2019,14.99,Subset Games,2019,19.3371,2018-02-27,90.0,N/A,Standalone,,False
62,TowerFall Ascension,20/12/2019,21/12/2019,14.99,Maddy Makes Games Inc.,2019,19.3371,2014-03-11,87.0,N/A,Standalone,,False
63,Superhot,21/12/2019,22/12/2019,24.99,Superhot Team,2019,32.2371,2016-02-25,84.72222222222223,N/A,Standalone,,False
64,Little Inferno,22/12/2019,23/12/2019,14.99,Tomorrow Corporation,2019,19.3371,2012-11-18,65.0,N/A,Standalone,,False
65,Ape Out,23/12/2019,24/12/2019,14.99,Devolver Digital,2019,19.3371,2019-02-28,81.83333333333333,N/A,Standalone,,False
66,Celeste (repeat),24/12/2019,25/12/2019,0.0,Maddy Makes Games,2019,0.0,Date Not Found,,,,,False
67,Totally Accurate Battle Simulator,25/12/2019,26/12/2019,19.99,Landfall,2019,25.7871,2021-04-01,73.0,N/A,Standalone,,False
68,FTL: Faster Than Light,26/12/2019,27/12/2019,9.99,Subset Games,2019,12.8871,2012-09-14,88.8,N/A,Standalone,,False
69,Hyper Light Drifter,27/12/2019,28/12/2019,19.99,Heart Machine,2019,25.7871,2016-03-31,88.9090909090909,N/A,Standalone,,False
70,Shadow Tactics: Blades of the Shogun,28/12/2019,29/12/2019,39.99,Daedalic Entertainment,2019,51.58710000000001,2016-12-06,86.72727272727273,N/A,Standalone,,False
71,The Talos Principle,29/12/2019,30/12/2019,29.99,Devolver Digital,2019,38.6871,2014-12-11,87.33333333333333,2023-11-02,The Talos Principle 2,1404.0,False
72,Hello Neighbor,30/12/2019,31/12/2019,29.99,Tinybuild,2019,38.6871,2017-12-08,36.75,2021-01-01,Hello Engineer,368.0,False
73,Yooka-Laylee and the Impossible Lair,31/12/2019,01/01/2020,29.99,Team17 Digital Ltd,2019,38.6871,2019-10-07,86.11111111111111,N/A,Standalone,,False
74,Darksiders,01/01/2020,09/01/2020,39.99,Thq Nordic,2020,50.7873,2010-01-05,81.625,N/A,Standalone,,False
75,Darksiders II,01/01/2020,09/01/2020,39.99,Thq Nordic,2020,50.7873,2012-08-14,85.75,N/A,Standalone,,False
76,Steep,01/01/2020,09/01/2020,29.99,Ubisoft,2020,38.0873,2016-12-01,72.89473684210526,N/A,Standalone,,False
77,Sundered: Eldritch Edition,09/01/2020,16/01/2020,19.99,Thunder Lotus,2020,25.3873,2018-12-19,61.0,N/A,Standalone,,False
78,Horace,16/01/2020,23/01/2020,14.99,505 Games,2020,19.037300000000002,2019-07-18,80.0,N/A,Standalone,,False
79,The Bridge,23/01/2020,30/01/2020,9.99,The Quantum Astrophysicists Guild,2020,12.6873,2013-02-22,69.0,N/A,Standalone,,False
80,Farming Simulator 19,30/01/2020,06/02/2020,17.99,Giants Software,2020,22.847299999999997,2018-11-19,68.2,2021-11-22,Farming Simulator 22,662.0,False
81,Carcassonne,06/02/2020,13/02/2020,9.99,Twin Sails Interactive,2020,12.6873,2010-06-03,80.0,N/A,Standalone,,False
82,Ticket to Ride,06/02/2020,13/02/2020,14.99,Marmalade Game Studio Ltd,2020,19.037300000000002,2015-11-19,70.0,N/A,Standalone,,False
83,Aztez,13/02/2020,20/02/2020,19.99,Team Colorblind,2020,25.3873,2017-08-01,90.0,N/A,Standalone,,False
84,Kingdom Come: Deliverance,13/02/2020,20/02/2020,29.99,Warhorse Studios,2020,38.0873,2018-02-13,73.72727272727273,2025-02-04,Kingdom Come: Deliverance II,1818.0,False
85,Assassin's Creed Syndicate,20/02/2020,27/02/2020,29.99,Ubisoft,2020,38.0873,2015-10-23,72.15789473684211,2020-11-10,Assassin's Creed Valhalla,264.0,False
86,Faeria,20/02/2020,27/02/2020,19.99,Versus Evil,2020,25.3873,2017-03-08,82.5,N/A,Standalone,,False
87,InnerSpace,27/02/2020,05/03/2020,19.99,Aspyr,2020,25.3873,2018-01-16,61.25,N/A,Standalone,,False
88,GoNNER,05/03/2020,12/03/2020,9.99,Raw Fury,2020,12.6873,2016-10-12,82.75,N/A,Standalone,,False
89,Offworld Trading Company,05/03/2020,12/03/2020,29.99,Stardock Entertainment,2020,38.0873,2016-04-28,89.33333333333333,N/A,Standalone,,False
90,A Short Hike,12/03/2020,19/03/2020,7.99,Adamgryu,2020,10.1473,2019-07-30,77.5,N/A,Standalone,,False
91,Anodyne 2: Return to Dust,12/03/2020,19/03/2020,19.99,Analgesic Productions,2020,25.3873,2019-08-12,70.0,N/A,Standalone,,False
92,Mutazione,12/03/2020,19/03/2020,19.99,Akupara Games,2020,25.3873,2019-09-19,90.0,N/A,Standalone,,False
93,The Stanley Parable,19/03/2020,26/03/2020,14.99,Galactic Cafe,2020,19.037300000000002,2011-08-01,90.0,N/A,Standalone,,False
94,Watch Dogs,19/03/2020,26/03/2020,19.99,Ubisoft,2020,25.3873,2014-05-26,81.0952380952381,2020-10-29,Watch Dogs: Legion,224.0,False
95,Figment,26/03/2020,02/04/2020,19.99,Bedtime Digital Games,2020,25.3873,2017-09-22,88.66666666666667,2022-11-16,Figment,965.0,False
96,Tormentor x Punisher,26/03/2020,02/04/2020,7.99,Raw Fury,2020,10.1473,2017-06-02,80.0,N/A,Standalone,,False
