id,game,start_date,end_date,price,publisher,original_release_date,aggregated_rating,real_value,next_sequel_date,next_sequel_name,year,hype_delta_days,is_strategic_hype
64,Shadow Tactics: Blades of the Shogun,28/12/2019,29/12/2019,39.99,Daedalic Entertainment,2016-12-06,86.72727272727273,51.58710000000001,N/A,Standalone,2019,,False
65,The Talos Principle,29/12/2019,30/12/2019,29.99,Devolver Digital,11/12/2014,87.33333333,38.6871,02/11/2023,The Talos Principle 2,2019,1140.0,False
66,Hello Neighbor,30/12/2019,31/12/2019,29.99,Tinybuild,08/12/2017,36.75,38.6871,01/01/2021,Hello Engineer,2019,368.0,False
67,Yooka-Laylee and the Impossible Lair,31/12/2019,01/01/2020,29.99,Team17 Digital Ltd,2019-10-07,86.11111111111111,38.6871,N/A,Standalone,2019,,False
68,Darksiders,01/01/2020,09/01/2020,39.99,Thq Nordic,2010-01-05,81.625,50.7873,N/A,Standalone,2020,,False
69,Darksiders II,01/01/2020,09/01/2020,39.99,Thq Nordic,2012-08-14,85.75,50.7873,N/A,Standalone,2020,,False
70,Steep,01/01/2020,09/01/2020,29.99,Ubisoft,2016-12-01,72.89473684210526,38.0873,N/A,Standalone,2020,,False
71,Sundered: Eldritch Edition,09/01/2020,16/01/2020,19.99,Thunder Lotus,2018-12-19,61.0,25.3873,N/A,Standalone,2020,,False
72,Horace,16/01/2020,23/01/2020,14.99,505 Games,2019-07-18,80.0,19.037300000000002,N/A,Standalone,2020,,False
73,The Bridge,23/01/2020,30/01/2020,9.99,The Quantum Astrophysicists Guild,2013-02-22,69.0,12.6873,N/A,Standalone,2020,,False
74,Farming Simulator 19,30/01/2020,06/02/2020,17.99,Giants Software,19/11/2018,68.2,22.847299999999997,22/11/2021,Farming Simulator 22,2020,,False
75,Carcassonne,06/02/2020,13/02/2020,9.99,Twin Sails Interactive,2010-06-03,80.0,12.6873,N/A,Standalone,2020,,False
76,Ticket to Ride,06/02/2020,13/02/2020,14.99,Marmalade Game Studio Ltd,2015-11-19,70.0,19.037300000000002,N/A,Standalone,2020,,False
77,Aztez,13/02/2020,20/02/2020,19.99,Team Colorblind,2017-08-01,90.0,25.3873,N/A,Standalone,2020,,False
78,Kingdom Come: Deliverance,13/02/2020,20/02/2020,29.99,Warhorse Studios,13/02/2018,73.72727273,38.0873,04/02/2025,Kingdom Come: Deliverance II,2020,1875.0,False
79,Assassin's Creed Syndicate,20/02/2020,27/02/2020,29.99,Ubisoft,23/10/2015,72.15789474,38.0873,10/11/2020,Assassin's Creed Valhalla,2020,234.0,False
80,Faeria,20/02/2020,27/02/2020,19.99,Versus Evil,2017-03-08,82.5,25.3873,N/A,Standalone,2020,,False
81,InnerSpace,27/02/2020,05/03/2020,19.99,Aspyr,2018-01-16,61.25,25.3873,N/A,Standalone,2020,,False
82,GoNNER,05/03/2020,12/03/2020,9.99,Raw Fury,2016-10-12,82.75,12.6873,N/A,Standalone,2020,,False
83,Offworld Trading Company,05/03/2020,12/03/2020,29.99,Stardock Entertainment,2016-04-28,89.33333333333333,38.0873,N/A,Standalone,2020,,False
84,A Short Hike,12/03/2020,19/03/2020,7.99,Adamgryu,2019-07-30,77.5,10.1473,N/A,Standalone,2020,,False
85,Anodyne 2: Return to Dust,12/03/2020,19/03/2020,19.99,Analgesic Productions,2019-08-12,70.0,25.3873,N/A,Standalone,2020,,False
86,Mutazione,12/03/2020,19/03/2020,19.99,Akupara Games,2019-09-19,90.0,25.3873,N/A,Standalone,2020,,False
87,The Stanley Parable,19/03/2020,26/03/2020,14.99,Galactic Cafe,2011-08-01,90.0,19.037300000000002,N/A,Standalone,2020,,False
88,Watch Dogs,19/03/2020,26/03/2020,19.99,Ubisoft,26/05/2014,81.0952381,25.3873,29/10/2020,Watch Dogs: Legion,2020,,False
89,Figment,26/03/2020,02/04/2020,19.99,Bedtime Digital Games,22/09/2017,88.66666667,25.3873,16/11/2022,Figment,2020,,False
90,Tormentor x Punisher,26/03/2020,02/04/2020,7.99,Raw Fury,2017-06-02,80.0,10.1473,N/A,Standalone,2020,,False
91,World War Z,26/03/2020,02/04/2020,29.99,Saber Interactive Inc,2019-04-16,74.0,38.0873,N/A,Standalone,2020,,False
92,Drawful 2,02/04/2020,09/04/2020,9.99,"Jackbox Games, Inc.",2016-06-21,77.5,12.6873,N/A,Standalone,2020,,False
93,Gone Home,02/04/2020,09/04/2020,14.99,Fullbright,2013-08-15,73.8,19.037300000000002,N/A,Standalone,2020,,False
94,Hob,02/04/2020,09/04/2020,19.99,Arc Games,2017-09-26,72.125,25.3873,N/A,Standalone,2020,,False
95,Totally Reliable Delivery Service,02/04/2020,09/04/2020,14.99,Infogrames,2020-04-01,50.0,19.037300000000002,N/A,Standalone,2020,,False
96,Close to the Sun,09/04/2020,16/04/2020,19.99,Wired Productions,2019-05-02,60.6,25.3873,N/A,Standalone,2020,,False
97,Sherlock Holmes: Crimes and Punishments,09/04/2020,16/04/2020,29.99,Frogwares,2014-09-29,74.71428571428571,38.0873,N/A,Standalone,2020,,False
98,Just Cause 4,16/04/2020,23/04/2020,59.99,Square Enix,2018-12-04,69.4,76.18730000000001,N/A,No Future Sequel Found,2020,,False
99,Wheels of Aurelia,16/04/2020,23/04/2020,14.99,Santa Ragione,2016-09-20,60.0,19.037300000000002,N/A,Standalone,2020,,False
