ï»¿id,game,start_date,end_date,price,seller,year,real_value,id
113,Borderlands: The Handsome Collection,2020-05-28,04/06/2020,59.99,Unknown Publisher,2020,76.18730000000001,0
114,Borderlands: The Pre-Sequel,2020-05-28,04/06/2020,39.99,2K,2020,50.7873,0
115,Overcooked!,2020-06-04,11/06/2020,16.99,Team17 Digital Ltd,2020,21.577299999999997,0
116,Ark: Survival Evolved,2020-06-11,18/06/2020,14.99,Studio Wildcard,2020,19.037300000000002,0
117,Samurai Shodown NeoGeo Collection,2020-06-11,18/06/2020,39.99,Snk Corporation,2020,50.7873,0
118,Pathway,2020-06-18,25/06/2020,15.99,Chucklefish,2020,20.3073,0
119,AER: Memories of Old,2020-06-25,02/07/2020,14.99,Daedalic Entertainment,2020,19.037300000000002,0
120,Stranger Things 3: The Game,2020-06-25,02/07/2020,0.0,Unknown Publisher,2020,0.0,0
121,Hue,2020-07-02,09/07/2020,14.99,Curve Games,2020,19.037300000000002,0
122,Killing Floor 2,2020-07-09,16/07/2020,29.99,Tripwire Interactive,2020,38.0873,0
123,Lifeless Planet: Premier Edition,2020-07-09,16/07/2020,9.99,Serenity Forge,2020,12.6873,0
124,The Escapists 2,2020-07-09,16/07/2020,19.99,Team17,2020,25.3873,0
125,Torchlight II,2020-07-16,23/07/2020,19.99,Xd,2020,25.3873,0
126,Next Up Hero,2020-07-23,30/07/2020,19.99,Digital Continue,2020,25.3873,0
127,Tacoma,2020-07-23,30/07/2020,19.99,Fullbright,2020,25.3873,0
128,20XX,2020-07-30,06/08/2020,14.99,Batterystaple Games,2020,19.037300000000002,0
129,Barony,2020-07-30,06/08/2020,19.99,Turning Wheel Llc,2020,25.3873,0
130,Superbrothers: Sword & Sworcery EP,2020-07-30,06/08/2020,7.99,Capybara Games,2020,10.1473,0
131,3 out of 10: Season One,2020-08-06,13/08/2020,0.0,Unknown Publisher,2020,0.0,0
132,Wilmot's Warehouse,2020-08-06,13/08/2020,14.99,Finji,2020,19.037300000000002,0
133,Remnant: From the Ashes,2020-08-13,20/08/2020,39.99,Arc Games,2020,50.7873,0
134,The Alto Collection,2020-08-13,20/08/2020,9.99,Snowman,2020,12.6873,0
135,Enter the Gungeon,2020-08-20,27/08/2020,14.99,Devolver Digital,2020,19.037300000000002,0
136,God's Trigger,2020-08-20,27/08/2020,14.99,Techland Publishing,2020,19.037300000000002,0
137,Hitman (2016),2020-08-27,03/09/2020,0.0,Unknown Publisher,2020,0.0,0
138,Shadowrun Collection,2020-08-27,03/09/2020,0.0,Unknown Publisher,2020,0.0,0
139,Into the Breach,2020-09-03,10/09/2020,14.99,Subset Games,2020,19.037300000000002,0
140,Railway Empire,2020-09-10,17/09/2020,29.99,Kalypso Media,2020,38.0873,0
141,Where the Water Tastes Like Wine,2020-09-10,17/09/2020,19.99,Good Shepherd Entertainment,2020,25.3873,0
142,A Total War Saga: Troy,2020-09-13,13/09/2020,49.99,Sega,2020,63.487300000000005,0
143,Football Manager 2020,2020-09-17,24/09/2020,0.0,Sega,2020,0.0,0
144,Stick It To The Man!,2020-09-17,24/09/2020,7.99,Ripstone,2020,10.1473,0
145,Watch Dogs 2,2020-09-17,24/09/2020,49.99,Ubisoft,2020,63.487300000000005,0
146,RollerCoaster Tycoon 3: Complete Edition,2020-09-24,01/10/2020,19.99,Unknown Publisher,2020,25.3873,0
147,Pikuniku,2020-10-01,08/10/2020,12.99,Devolver Digital,2020,16.4973,0
148,ABZU,2020-10-08,15/10/2020,19.99,505 Games,2020,25.3873,0
149,Rising Storm 2: Vietnam,2020-10-08,15/10/2020,24.99,Tripwire Interactive,2020,31.737299999999998,0
150,Amnesia: A Machine for Pigs,2020-10-15,22/10/2020,19.99,Frictional Games,2020,25.3873,0
151,Kingdom New Lands,2020-10-15,22/10/2020,14.99,Raw Fury,2020,19.037300000000002,0
152,Costume Quest 2,2020-10-22,29/10/2020,14.99,Midnight City,2020,19.037300000000002,0
153,Layers of Fear 2,2020-10-22,29/10/2020,19.99,Bloober Team Sa,2020,25.3873,0
154,Blair Witch,2020-10-29,05/11/2020,29.99,Bloober Team Na,2020,38.0873,0
155,Ghostbusters: The Video Game Remastered,2020-10-29,05/11/2020,24.99,"Mad Dog Games, Llc",2020,31.737299999999998,0
156,Dungeons 3,2020-11-05,12/11/2020,29.99,Kalypso Media,2020,38.0873,0
157,The Textorcist: The Story of Ray Bibbia,2020-11-12,19/11/2020,14.99,Headup,2020,19.037300000000002,0
158,Elite Dangerous,2020-11-19,26/11/2020,19.99,Frontier Developments,2020,25.3873,0
159,The World Next Door,2020-11-19,26/11/2020,4.99,Viz Media,2020,6.3373,0
160,MudRunner,2020-11-26,03/12/2020,19.99,Focus Entertainment,2020,25.3873,0
161,Cave Story+,2020-12-03,10/12/2020,14.99,"Nicalis, Inc.",2020,19.037300000000002,0
162,Pillars of Eternity: Definitive Edition,2020-12-10,17/12/2020,39.99,Unknown Publisher,2020,50.7873,0
163,Tyranny: Gold Edition,2020-12-10,17/12/2020,49.99,Unknown Publisher,2020,63.487300000000005,0
164,Cities: Skylines,2020-12-17,18/12/2020,29.99,Paradox Interactive,2020,38.0873,0
165,Oddworld: New 'n' Tasty,2020-12-18,19/12/2020,19.99,"Oddworld Inhabitants, Inc.",2020,25.3873,0
166,The Long Dark,2020-12-19,20/12/2020,19.99,Hinterland Studio Inc.,2020,25.3873,0
167,Defense Grid: The Awakening,2020-12-20,21/12/2020,9.99,Hidden Path Entertainment,2020,12.6873,0
168,Alien: Isolation,2020-12-21,22/12/2020,39.99,Sega,2020,50.7873,0
169,Metro 2033 Redux,2020-12-22,23/12/2020,19.99,Deep Silver,2020,25.3873,0
170,Tropico 5,2020-12-23,24/12/2020,19.99,Kalypso Media Digital,2020,25.3873,0
171,Inside,2020-12-24,25/12/2020,24.99,Playdead,2020,31.737299999999998,0
172,Darkest Dungeon,2020-12-25,26/12/2020,24.99,Red Hook Studios,2020,31.737299999999998,0
173,My Time at Portia,2020-12-26,27/12/2020,29.99,Focus Entertainment,2020,38.0873,0
174,Night in the Woods,2020-12-27,28/12/2020,19.99,Finji,2020,25.3873,0
175,Stranded Deep,2020-12-28,29/12/2020,19.99,Beam Team Publishing,2020,25.3873,0
176,Solitairica,2020-12-29,30/12/2020,9.99,Righteous Hammer Games,2020,12.6873,0
177,Torchlight II,2020-12-30,31/12/2020,19.99,Xd,2020,25.3873,0
178,Jurassic World Evolution,2020-12-31,07/01/2021,44.99,Frontier Developments,2020,57.1373,0
179,Crying Suns,2021-01-07,14/01/2021,24.99,Humble Games,2021,30.487799999999996,0
180,STAR WARS Battlefront II,2021-01-14,21/01/2021,39.99,Electronic Arts,2021,48.787800000000004,0
181,Galactic Civilizations III,2021-01-21,28/01/2021,29.99,Stardock Entertainment,2021,36.587799999999994,0
182,Dandara,2021-01-28,04/02/2021,14.99,Raw Fury,2021,18.2878,0
183,For The King,2021-02-04,11/02/2021,19.99,Curve Games,2021,24.3878,0
184,Metro: Last Light Redux,2021-02-04,11/02/2021,19.99,Deep Silver,2021,24.3878,0
185,Halcyon 6: Starbase Commander,2021-02-11,18/02/2021,14.99,"Massive Damage, Inc.",2021,18.2878,0
186,Absolute Drift,2021-02-18,25/02/2021,11.99,Funselektor Labs Inc.,2021,14.6278,0
187,Rage 2,2021-02-18,25/02/2021,39.99,Bethesda Softworks,2021,48.787800000000004,0
188,Sunless Sea,2021-02-25,04/03/2021,18.99,Failbetter Games,2021,23.167799999999996,0
189,Wargame: Red Dragon,2021-03-04,11/03/2021,29.99,Eugen Systems,2021,36.587799999999994,0
190,Surviving Mars,2021-03-11,18/03/2021,29.99,Paradox Interactive,2021,36.587799999999994,0
191,The Fall,2021-03-18,25/03/2021,9.99,Over The Moon,2021,12.1878,0
192,Creature in the Well,2021-03-25,01/04/2021,14.99,Flight School Studio,2021,18.2878,0
193,Tales of the Neon Sea,2021-04-01,08/04/2021,14.99,Thermite Games,2021,18.2878,0
194,3 out of 10: Season Two,2021-04-08,15/04/2021,0.0,Unknown Publisher,2021,0.0,0
195,Deponia,2021-04-15,22/04/2021,9.99,Daedalic Entertainment,2021,12.1878,0
196,Ken Follett's The Pillars of the Earth,2021-04-15,22/04/2021,19.99,Daedalic Entertainment,2021,24.3878,0
197,The First Tree,2021-04-15,22/04/2021,9.99,David Wehle,2021,12.1878,0
198,Alien: Isolation,2021-04-22,29/04/2021,39.99,Sega,2021,48.787800000000004,0
199,Hand of Fate 2,2021-04-22,29/04/2021,29.99,Defiant Development,2021,36.587799999999994,0
200,Idle Champions of the Forgotten Realms,2021-04-29,06/05/2021,0.0,Codename Entertainment Inc.,2021,0.0,0
