id,game,start_date,end_date,price
416,Q.U.B.E. Ultimate Bundle,12/10/2023,19/10/2023,19.99
417,Eternal Threads,19/10/2023,26/10/2023,19.99
418,The Evil Within,19/10/2023,26/10/2023,19.99
419,Tandem: A Tale of Shadows,26/10/2023,02/11/2023,9.99
420,The Evil Within 2,26/10/2023,02/11/2023,39.99
421,F.I.S.T.: Forged In Shadow Torch,02/11/2023,09/11/2023,15.99
422,Turnip Boy Commits Tax Evasion,02/11/2023,09/11/2023,14.99
423,Earthlock,09/11/2023,16/11/2023,29.99
424,Golden Light,09/11/2023,16/11/2023,19.99
425,Deliver Us Mars,16/11/2023,23/11/2023,29.99
426,Surviving the Aftermath,16/11/2023,23/11/2023,29.99
427,Jitsu Squad,23/11/2023,30/11/2023,9.99
428,Mighty Fight Federation,23/11/2023,30/11/2023,29.99
429,GigaBash,30/11/2023,07/12/2023,24.99
430,Predecessor,30/11/2023,07/12/2023,29.99
431,Destiny 2: Legacy Collection,07/12/2023,14/12/2023,69.99
432,DNF Duel,20/12/2023,21/12/2023,49.99
433,Melvor Idle,21/12/2023,22/12/2023,9.99
434,20 Minutes Till Dawn,21/12/2023,31/12/2023,4.99
435,A Plague Tale: Innocence,21/12/2023,31/12/2023,39.99
436,Black Book,21/12/2023,31/12/2023,24.99
437,Dishonored: Death of the Outsider,21/12/2023,31/12/2023,29.99
438,Escape Academy,21/12/2023,31/12/2023,19.99
439,Grime,21/12/2023,31/12/2023,24.99
440,Idle Champions of the Forgotten Realms (DLC pack),21/12/2023,31/12/2023,5.99
441,Marvel's Guardians of the Galaxy,21/12/2023,31/12/2023,59.99
442,theHunter: Call of the Wild,21/12/2023,31/12/2023,19.99
443,Train Sim World 3,21/12/2023,31/12/2023,24.99
444,Train Valley 2,21/12/2023,31/12/2023,14.99
445,Turnip Boy Commits Tax Evasion,21/12/2023,31/12/2023,14.99
446,Art of Rally,22/12/2023,23/12/2023,24.99
447,Fallout 3,23/12/2023,24/12/2023,9.99
448,Ghostwire: Tokyo,24/12/2023,25/12/2023,59.99
449,The Outer Worlds,25/12/2023,26/12/2023,29.99
450,Human Resource Machine,26/12/2023,27/12/2023,14.99
451,Cursed to Golf,27/12/2023,28/12/2023,19.99
452,Cat Quest,28/12/2023,29/12/2023,12.99
453,Snakebird Complete,29/12/2023,30/12/2023,14.99
454,Saints Row (2022),30/12/2023,31/12/2023,29.99
455,Ghostrunner,31/12/2023,01/01/2024,29.99
456,Escape Academy,01/01/2024,02/01/2024,19.99
457,20 Minutes Till Dawn,02/01/2024,03/01/2024,4.99
458,A Plague Tale: Innocence,03/01/2024,04/01/2024,39.99
459,Marvel's Guardians of the Galaxy,04/01/2024,11/01/2024,59.99
460,Sail Forth,11/01/2024,18/01/2024,19.99
461,LOVE,18/01/2024,25/01/2024,2.99
462,Infinifactory,25/01/2024,01/02/2024,24.99
463,Doors: Paradox,01/02/2024,08/02/2024,14.99
464,Lost Castle,08/02/2024,15/02/2024,9.99
465,Doki Doki Literature Club Plus!,08/02/2024,15/02/2024,14.99
466,Dakar Desert Rally,15/02/2024,22/02/2024,29.99
467,Super Meat Boy Forever,22/02/2024,29/02/2024,4.99
468,Aerial_Knight's Never Yield,29/02/2024,07/03/2024,11.99
